symbol,name_jp,market,score_0to7,official_score,official_applicable,official_rule1_new_high,official_rule3_growth,official_rule3_no_decline,official_rule4_recent20,official_rule5_sales,official_rule6_profit,official_rule7_resilience,official_rule8_per,nh_stable_growth,nh_no_big_drop,nh_last1_20,nh_last2_20,annual_last1_yoy,annual_last2_cagr,q_last_pretax_yoy,q_last_revenue_yoy,q_last_ok_20_10,q_seq_ok,q_accelerating,q_improving_margin,notes,per,digest,market_strength_ratio
3097.T,物語コーポレーション,プライム,4,6,8,True,True,True,False,True,True,False,True,False,True,False,False,0.05278489862502922,0.12184305005002183,0.22450805008944544,0.19652460338800753,True,True,False,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 経常成長の加速なし; 揺るぎない成長要件未満,23.8,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
3465.T,ケイアイスター不動産,プライム,4,4,8,True,False,False,False,True,True,False,True,False,False,True,False,0.49299111549851915,-0.09502796355692755,0.686829012830584,0.1589237947869061,True,True,False,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 経常成長の加速なし; 年平均成長+7%未達; 過去に減益あり; 揺るぎない成長要件未満,8.1,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
5831.T,しずおかフィナンシャルグループ,プライム,4,5,8,True,True,True,False,False,False,True,True,False,True,False,False,-0.0014771482235091948,0.1747494344937952,0.6696531238022231,0.2959041191528974,True,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達; 売上YoY+10%不足; 経常YoY+20%不足,14.7,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
1827.T,ナカノフドー建設,スタンダード,3,2,8,True,False,False,False,False,False,False,True,False,False,False,False,-0.028943937418513643,0.090072390938162,0.6935014548981572,0.141965734896303,True,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,14.4,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
2286.T,林兼産業,スタンダード,3,5,8,True,True,False,True,False,True,False,True,False,False,True,True,0.49288061336254096,0.6975296066130026,0.2877906976744186,-0.14151298456906286,False,False,False,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 経常成長の加速なし; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,7.8,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
2768.T,双日,プライム,3,2,8,True,False,False,False,False,False,False,True,False,True,False,False,0.07810483035586224,-0.06581557812736649,0.06047794117647059,0.049101849292551965,False,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,8.3,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
2914.T,ＪＴ,プライム,3,3,8,True,False,False,False,True,False,False,True,False,False,False,False,-0.6239291764331139,-0.37237735365958724,0.5313733071036263,0.1876709905037552,True,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 経常YoY+20%不足; 揺るぎない成長要件未満,18.7,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
3904.T,カヤック,グロース,3,3,8,True,False,False,False,True,False,False,True,False,False,False,False,-0.6262042389210019,-0.43443117516020413,5.742424242424242,0.2653539615564932,True,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 経常YoY+20%不足; 揺るぎない成長要件未満,13.3,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
4318.T,クイック,プライム,3,3,8,True,True,False,False,False,False,False,True,False,True,False,False,-0.08311791608669716,0.007456243598049861,0.3414322250639386,0.07035374868004224,False,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,12.9,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
4368.T,扶桑化学工業,プライム,3,3,8,True,True,False,False,False,False,False,True,False,False,True,False,0.39367163174282593,-0.08405435006367068,0.44204483324220883,0.0993939393939394,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,18.4,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
